name,author,press,year,price,score,num,quote
红楼梦,[清] 曹雪芹 著, 人民文学出版社 , 1996, 59.70,9.6,274500,都云作者痴，谁解其中味？
活着,余华, 作家出版社 , 2012, 20.00,9.4,455208,生的苦难与伟大
百年孤独,[哥伦比亚] 加西亚·马尔克斯, 南海出版公司 , 2011, 39.50,9.2,278189,魔幻现实主义文学代表作
1984,[英] 乔治·奥威尔, 北京十月文艺出版社 , 2010, 28.00,9.3,136061,栗树荫下，我出卖你，你出卖我
飘,[美国] 玛格丽特·米切尔, 译林出版社 , 2000, 40.00,9.3,150143,革命时期的爱情，随风而逝
"三体全集

                
                   : 地球往事三部曲",刘慈欣, 重庆出版社 , 2012, 168.00,9.4,35901,地球往事三部曲
三国演义（全二册）,[明] 罗贯中, 人民文学出版社 , 1998, 39.50,9.2,115218,是非成败转头空
白夜行,[日] 东野圭吾, 南海出版公司 , 2013, 39.50,9.1,240219,一宗离奇命案牵出跨度近20年步步惊心的故事
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔, 群众出版社 , 1981, 53.00,9.2,87269,名侦探的代名词
动物农场,[英] 乔治·奥威尔, 上海译文出版社 , 2007, 10.00,9.2,83189,太阳底下并无新事
小王子,[法] 圣埃克苏佩里, 人民文学出版社 , 2003, 22.00,9.0,550317,献给长成了大人的孩子们
房思琪的初恋乐园,林奕含, 北京联合出版公司 , 2018, 45.00,9.2,158498,向死而生的文学绝唱
天龙八部,金庸, 生活.读书.新知三联书店 , 1994, 96.0,9.1,98227,有情皆孽，无人不冤
撒哈拉的故事,三毛, 哈尔滨出版社 , 2003, 15.80,9.2,64990,游荡的自由灵魂
安徒生童话故事集,（丹麦）安徒生, 人民文学出版社 , 1997, 25.00,9.2,82738,为了争取未来的一代
哈利•波特,J.K.罗琳 (J.K.Rowling), 人民文学出版社 , 2008, 498.00,9.7,12676,从9¾站台开始的旅程
"人类简史

                
                   : 从动物到上帝",[以色列] 尤瓦尔·赫拉利, 中信出版社 , 2014,68.00,9.1,122906,跟着人类一同走过十万年
围城,钱锺书, 人民文学出版社 , 1991, 19.00,8.9,359379,幽默的语言和对生活深刻的观察
"沉默的大多数

                
                   : 王小波杂文随笔全编",王小波, 中国青年出版社 , 1997, 27.00,9.1,94343,沉默是沉默者的通行证
平凡的世界（全三部）,路遥, 人民文学出版社 , 2005, 64.00,9.0,239873,中国当代城乡生活全景
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯, 南海出版公司 , 2012, 39.50,9.0,172689,义无反顾地直达爱情的核心
局外人,[法] 阿尔贝·加缪, 上海译文出版社 , 2010, 22.00,9.0,117726,人生在世，永远也不该演戏作假
"明朝那些事儿（1-9）

                
                   : 限量版",当年明月, 中国海关出版社 , 2009, 358.20,9.1,76681,不拘一格的历史书写
杀死一只知更鸟,[美] 哈珀·李, 译林出版社 , 2012, 32.00,9.2,68571,有一种东西不能遵循从众原则，那就是——人的良心
笑傲江湖（全四册）,金庸, 生活·读书·新知三联书店 , 1994, 76.80,9.0,84903,欲练此功，必先自宫
月亮和六便士,[英] 毛姆, 上海译文出版社 , 2006, 15.00,9.0,121638,有多少人会经历顿悟，就有更少的人甘愿自我放逐
肖申克的救赎,[美] 斯蒂芬·金, 人民文学出版社 , 2006, 29.90,9.1,80895,豆瓣电影Top1原著
基督山伯爵,大仲马, 上海译文出版社 , 1991, 43.90,9.0,96097,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
中国历代政治得失,钱穆, 生活·读书·新知三联书店 , 2001 , 12.00,9.2,40266,一部简明的“中国政治制度史”
追风筝的人,[美] 卡勒德·胡赛尼, 上海人民出版社 , 2006, 29.00,8.9,625211,为你，千千万万遍
东方快车谋杀案,[英] 阿加莎·克里斯蒂, 人民文学出版社 , 2006, 18.00,9.0,91158,谋杀诡计惊人，波洛的抉择耐人寻味
万历十五年,[美] 黄仁宇, 生活·读书·新知三联书店 , 1997, 18.00,8.9,136566,见微知著，历史观的颠覆
夹边沟记事,杨显惠, 花城出版社 , 2008, 34.00,9.2,25296,一段尘封四十年的历史
嫌疑人X的献身,[日] 东野圭吾, 南海出版公司 , 2008, 28.00,8.9,394416,数学好是一种极致的浪漫
江城,[美] 彼得·海斯勒, 上海译文出版社 , 2012, 36.00,9.0,35315,外国人眼中的涪陵
"寻路中国

                
                   : 从乡村到工厂的自驾之旅",[美] 彼得·海斯勒, 上海译文出版社 , 2011, 33.00,9.0,40011,《纽约客》驻北京记者驾车漫游中国大陆的经历
刀锋,[英]毛姆, 上海译文出版社 , 2007, 18.00,9.0,51956,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
呐喊,鲁迅, 人民文学出版社 , 1973年3月 , 0.36,8.9,84857,新文学的第一声呐喊
射雕英雄传（全四册）,金庸, 生活·读书·新知三联书店 , 1999, 47.00,9.0,61453,侠之大者，为国为民
"新名字的故事

                
                   : 那不勒斯四部曲-02",[意] 埃莱娜·费兰特, 人民文学出版社 , 2017, 59.00,9.0,40718,探索青年时代的激情、困惑、挣扎、背叛和失去
"冰与火之歌

                
                   : （1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂",[美]乔治·R.R.马丁, 重庆出版社 , 2013, 330.00,9.5,7665,乔治·R·R·马丁史诗奇幻小说
"城南旧事

                
                   : 纪念普及版",林海音 文, 中国青年出版社 , 2003, 16.00,9.0,92349,长亭外，古道边，芳草碧连天
傲慢与偏见,[英] 奥斯丁, 人民文学出版社 , 1993, 13.00,8.8,179359,所有现代言情小说的母体
乡土中国,费孝通, 上海人民出版社 , 2006, 38.00,9.2,32144,中国乡土社会传统文化和社会结构理论研究代表作
格林童话全集,[德国]格林兄弟, 人民文学出版社 , 1994, 21.45,9.0,65648,一本有教育意义的书
"失踪的孩子

                
                   : 那不勒斯四部曲-04",[意] 埃莱娜·费兰特, 人民文学出版社 , 2018, 62,9.1,30939,我的整个生命，只是一场为了提升社会地位的低俗斗争。
"黄金时代

                
                   : 时代三部曲",王小波, 花城出版社 , 1999, 19.00,8.8,119056,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
"我与地坛

                
                   : 史铁生代表作",史铁生, 春风文艺出版社 , 2002, 25.00,9.1,54439,这是你的罪孽与福祉
